test,question1,question2,date
"Even though doctors advise old people to get more exercise, many old people do not get enough.",What are the reasons for this?,What are some possible solutions for this?,Reported on IELTS June 5th
Some educational systems make students study specialised subjects from the age of fifteen while others require students to study a wide range. ,Discuss both sides and give your own opinion. ,NULL,Reported on IELTS June 2nd
Governments should spend more money on medical research and less on researching the environment. ,To what extent do you agree or disagree?,NULL,Reported on IELTS May 30th
Many people think that zoos are cruel. Others think they are helpful in protecting rare animals. ,Discuss both sides and give your own opinion.,NULL,Reported on IELTS May 29th
Many parents today do not spend much time with their children.,Why is this?,Does this affect parents or children more?,Reported on IELTS May 27th
The increase in the production of consumer goods results in damage to the natural environment. ,What are the causes of this? ,What can be done to solve this problem? ,Reported on EILTS May 22nd
After graduation many students take a year to travel. Some think that it would be more useful to work for a year. ,To what extent do you agree or disagree? ,NULL,Reported on IELTS May 18th
Some believe that we should invent a new language for international communication. ,Do the advantages of this outweigh the disadvantages?,NULL,Reported on IELTS May 14th
Many people today are choosing to travel to other countries. ,Why is this happening? ,Is this a positive or negative development? ,Reported on IELTS May 11th
Some feel that it is a waste of time to plan for the future and it is more important to focus on the present.,To what extent do you agree or disagree?,NULL,Reported on IELTS May 6th
Some think that quality art can be made by anyone while others think that it requires special talent and ability.,Discuss both views and give your opinion.,NULL,Reported on IELTS May 5th
Some today argue that schools are no longer necessary because children can learn so much from the internet and be educated at home.,To what extent do you agree or disagree?,NULL,Reported on IELTS April 29th
"In many schools and universities today, women have a tendency to study the humanities (such as the arts and languages) while men more often major in science related subjects. Some believe this tendency should be changed.",To what extent do you agree or disagree?,NULL,Reported on IELTS April 27th
Some believe that people will purchase a product based on their needs and advertising is not needed.,To what extent do you agree or disagree?,NULL,Reported on IELTS April 21st
Many people believe that film is a less important art than other forms such as literature and painting.,To what extent do you agree or disagree?,NULL,Reported on IELTS April 7th
There are severe social consequences to housing shortages in cities and only the government can solve these problems.,To what extent do you agree or disagree?,NULL,Reported on IELTS April 3rd
"Watching a live performance such as a play, concert, or sporting event is more enjoyable than watching the same event on television. ",To what extent do you agree or disagree? ,NULL,Reported on IELTS March 31st
Some people believe that smartphones are destroying social interaction today.,To what extent do you agree or disagree?,NULL,Reported on IELTS March 29th
"Throughout history, male leaders have led us into violence and conflict. If a society is governed by female leaders it will be more peaceful. ",To what extent do you agree or disagree with this opinion?,NULL,Reported on IELTS March 19th
Some believe that history has little to teach us about today while others think that the study of the past helps us to understand the present.,Discuss both views and give your own opinion.,NULL,Reported on IELTS March 17th
More and more students at university today are not choosing to study science.,Why is this happening?,What are the effects of this?,Reported on IELTS March 15th
"Many people believe that music is just a form of entertainment, whilst others believe that music has a much larger impact on society today.",Discuss both views and give your own opinion.,NULL,Reported on IELTS March 12th
"Some people argue that job satisfaction is more important than job security, while others believe that they cannot always expect job satisfaction and a permanent job is more important. ",Discuss both these views and give your own opinion. ,NULL,Reported on IELTS March 7th
Watching TV shows and movies about crime is becoming more and more popular.,Why is this?,What effect does that have on society?,Reported on IELTS March 4th
Some believe technology has made our lives too complex and the solution is to lead a simpler life without technology.,To what extent do you agree or disagree?,NULL, Reported on IELTS March 3rd
In the future it will become more difficult to live on Earth so more money should be spent researching how to live on other planets such as Mars.,To what extent do you agree or disagree?,NULL,Reported on IELTS February 28th
Some think that ambition is a good quality.,Is it important to be ambitious?,Is it a positive or negative characteristic?,Reported on IELTS February 26th
Online shopping is becoming more common these days.,What effect could this have on the environment and the types of jobs required?,NULL,Reported on IELTS February 24th
Some think that governments should support retired people financially while others believe they should take care of themselves.,Discuss both views and give your own opinion.,NULL,Reported on IELTS February 23rd
Some believe that people are naturally born as leaders while others feel that leadership skills can develop.,Discuss both views and give your own opinion.,NULL,Reported on IELTS February 21st
Some think that governments should tax unhealthy foods to encourage people to eat healthier.,To what extent do you agree or disagree?,NULL,Reported on IELTS February 20th
Nowadays more tasks at home and work are being performed by robots. ,Is this a negative or positive development?,NULL,Reported on IELTS February 18th
"As well as making money, businesses also have a responsibility towards society.",To what extent do you agree or disagree?,NULL,Reported on IELTS February 16th
The use of social media is replacing face-to-face interaction among many people in society. ,Do you think the advantages outweigh the disadvantages? ,NULL,Reported on IELTS February 10th
Some believe that tourism does more to create tension between countries rather than helping individuals better understand other cultures.,To what extent do you agree or disagree?,NULL,Reported on IELTS February 9th
Too much money is wasted on repairing old buildings that should be used to knock them down and build new ones.,To what extent do you agree or disagree?,NULL,Reported on IELTS February 7th
Plagiarism in academics has become a pressing problem in many countries today.,What are the causes of this problem?,What are some possible solutions?,Reported IELTS Exam on February 5th
"Nowadays, entertainers get paid more than politicians.",What are the reasons for this?,Is this a negative or positive development?,Reported IELTS Exam on February 3rd
More and more people today are drinking sugar-based drinks.,What are the reasons for this?,What are the solutions?,Reported IELTS Exam on February 3rd
Many believe that the best way to ensure a happier society is to reduce the difference in income earnings between the rich and poor.,To what extent do you agree or disagree?,NULL, Reported IELTS Exam on February 1st
"In some countries, criminal trials are shown on television for the public.",Do the advantages of this outweigh the disadvantages?,NULL,Reported IELTS Exam on January 30th
Many believe that individuals can do little to improve the environment. Only governments and large companies can make a real difference.,To what extent do you agree or disagree?,NULL, Reported IELTS Exam on January 28th
Today single-use products are still very common.,What are the problems associated with this?,What are some possible solutions?, Reported IELTS Exam on January 27th
People today generally have better lives than people in the past did.,To what extent do you agree or disagree?,NULL, Reported IELTS Exam on January 25th
Interviews have always been the most common way to choose among job candidates. Some people now think that there are better ways of finding the right person for a job.,To what extent do you agree or disagree?,NULL, Reported IELTS Exam on January 24th
Many people feel that students should learn from online materials while others feel that it is better to use printed materials.,Discuss both views and give your own opinion.,NULL, Reported IELTS Exam on January 23rd
"In order to be successful at a sport, some think you must be physically strong while others believe mental strength is more important.",Discuss both views and give your own opinion.,NULL, Reported IELTS Exam on January 22nd
People today increasingly use credit cards to make monthly purchases. ,Do the advantages of this outweigh the disadvantages?,NULL, Reported IELTS Exam on January 21st
Scientific research should be primarily funded by governments instead of commercial companies.,To what extent do you agree or disagree?,NULL, Reported IELTS Exam on January 20th
Nowadays it is not only large studios that are able to make films. Digital filmmaking now enables anyone to make films.,Do you think this is a positive or negative development?,NULL, Reported IELTS Exam on January 18th
Many people have suggested that young adults should undertake a period of unpaid work helping people in their local community.,What are the advantages and disadvantages of this?,NULL, Reported IELTS Exam on January 17th
People today spend less and less time interacting with other people in their neighborhood and this has a negative impact on communities.,What are the possible causes and solutions to this problem?,NULL, Reported IELTS Exam on January 15th
"Because most information about culture and history can be found on the internet today, museums are not necessary.",To what extent do you agree or disagree?,NULL, Reported IELTS Exam on January 14th 
Many feel that happiness is mainly an individual responsibility while others feel that there are important external factors.,Discuss both views and give your own opinion.,NULL, Reported IELTS Exam on January 10th
Some believe that spoken communication is always more powerful than written communication. ,To what extent do you agree or disagree? ,NULL, Reported IELTS Exam on January 10th
Some people think that paying taxes is their only responsibility towards society while others feel that everyone should do more.,Discuss both views and give your own opinion.,NULL, Reported IELTS Exam on January 7th
Some people believe that education is the key to tackling hunger worldwide while others feel that the answer is in food aid.,Discuss both views and give your own opinion.,NULL, Reported IELTS Exam on January 3rd
